LECROYWM8500,500500138,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,19-Nov-2021 07:47:31,0                 
Time,Ampl
2.2395e-007,0.00019185
2.24e-007,0.000174721
2.2405e-007,0.000161017
2.241e-007,0.000130184
2.2415e-007,9.5925e-005
2.242e-007,5.48143e-005
2.2425e-007,-3.42589e-006
2.243e-007,-4.79625e-005
2.2435e-007,-8.56473e-005
2.244e-007,-0.000111342
2.2445e-007,-0.000113054
2.245e-007,-0.000119906
2.2455e-007,-0.000135323
2.246e-007,-0.000123332
2.2465e-007,-8.05085e-005
2.247e-007,-2.39813e-005
2.2475e-007,-1.71295e-006
2.248e-007,4.45366e-005
2.2485e-007,0.00010449
2.249e-007,0.000159304
2.2495e-007,0.000203841
2.25e-007,0.00027921
2.2505e-007,0.000298053
2.251e-007,0.000328886
2.2515e-007,0.000322034
2.252e-007,0.00032546
2.2525e-007,0.000286062
2.253e-007,0.000251803
2.2535e-007,0.000215831
2.254e-007,0.000176434
2.2545e-007,0.000152452
2.255e-007,0.000111342
2.2555e-007,7.53697e-005
2.256e-007,4.45366e-005
2.2565e-007,4.96755e-005
2.257e-007,3.2546e-005
2.2575e-007,2.74071e-005
2.258e-007,1.37036e-005
2.2585e-007,6.85179e-006
2.259e-007,1.88424e-005
2.2595e-007,2.22683e-005
2.26e-007,2.22683e-005
2.2605e-007,2.91201e-005
2.261e-007,3.59719e-005
2.2615e-007,6.5092e-005
2.262e-007,6.16661e-005
2.2625e-007,8.56473e-005
2.263e-007,8.39344e-005
2.2635e-007,0.00010449
2.264e-007,9.93509e-005
2.2645e-007,0.000102777
2.265e-007,8.05085e-005
2.2655e-007,6.3379e-005
2.266e-007,5.13884e-005
2.2665e-007,8.56473e-006
2.267e-007,-1.37036e-005
2.2675e-007,-1.71295e-005
2.268e-007,-2.22683e-005
2.2685e-007,-3.0833e-005
2.269e-007,-1.88424e-005
2.2695e-007,6.85179e-006
2.27e-007,4.79625e-005
2.2705e-007,9.7638e-005
2.271e-007,0.000131897
2.2715e-007,0.000181572
2.272e-007,0.000212405
2.2725e-007,0.000217544
2.273e-007,0.00025009
2.2735e-007,0.00026722
2.274e-007,0.000280923
2.2745e-007,0.000301479
2.275e-007,0.000339163
2.2755e-007,0.000380274
2.276e-007,0.000405968
2.2765e-007,0.000443653
2.277e-007,0.000479625
2.2775e-007,0.000531014
2.278e-007,0.000544717
2.2785e-007,0.000568698
2.279e-007,0.000590967
2.2795e-007,0.000587541
2.28e-007,0.00060467
2.2805e-007,0.000582402
2.281e-007,0.000544717
2.2815e-007,0.000515597
2.282e-007,0.000452218
2.2825e-007,0.0003837
2.283e-007,0.000328886
2.2835e-007,0.00027921
2.284e-007,0.000226109
2.2845e-007,0.000166156
2.285e-007,0.000109629
2.2855e-007,6.68049e-005
2.286e-007,1.54165e-005
2.2865e-007,3.42589e-006
2.287e-007,-3.76848e-005
2.2875e-007,-3.42589e-005
