Thermal Diffusivity (m^2/s), StdTDiff (m^2/s) Temp (C)
2.0631612328485848e-07, 1.104778789969028e-09, 548.0
2.122175008737963e-07, 1.1222615519902264e-09, 550.0
2.1208657546438428e-07, 1.2616412022060328e-09, 553.0
2.1006904673672568e-07, 1.2572598857086281e-09, 555.0
2.127894470976644e-07, 1.1318809980882342e-09, 557.0
2.101030738549895e-07, 8.710898507072964e-10, 559.0
2.1189275178280448e-07, 8.13054512437337e-10, 561.0
2.126427478018629e-07, 8.842421067374702e-10, 563.0
2.1470071683700743e-07, 1.021863918823554e-09, 565.0
2.1263368701855622e-07, 1.3995656962402927e-09, 567.0
2.1131570101391258e-07, 5.596369076835637e-10, 569.0
2.1294570448511702e-07, 6.50733398669106e-10, 573.0
2.1721093595576813e-07, 1.0507291279244295e-09, 578.0
2.2154258370319943e-07, 8.76033040117866e-10, 579.0
2.19869961034811e-07, 7.618359367313523e-10, 580.0
2.1652296761098874e-07, 1.050708574583724e-09, 581.0
