Thermal Diffusivity (m^2/s), StdTDiff (m^2/s) Temp (C)
2.0994250441478586e-07, 1.863198733740361e-09, 498.0
2.1017552630184569e-07, 1.256015795647589e-09, 501.0
2.01832990201532e-07, 1.5868973722263167e-09, 508.0
2.0278645308405571e-07, 1.8340988811153173e-09, 509.0
1.9842418497276314e-07, 1.3978642202053949e-09, 510.0
2.1401392487622916e-07, 1.8598800659875618e-09, 511.0
2.0300414990129265e-07, 1.5913413076713745e-09, 512.0
2.1111524860438937e-07, 1.8250282520068445e-09, 513.0
2.0934725675701397e-07, 1.9296382774711188e-09, 514.0
2.0975997336688375e-07, 2.248516013166489e-09, 515.0
2.202737838939907e-07, 2.0037581112169905e-09, 518.0
2.0476747947452756e-07, 1.6767105809550249e-09, 519.0
2.167431247032172e-07, 1.3104316800975941e-09, 521.0
2.1529838708120283e-07, 1.5597429533738027e-09, 522.0
2.085743875275477e-07, 1.5091439443109405e-09, 523.0
2.055352404269536e-07, 1.7174324557433405e-09, 524.0
2.0391340182355857e-07, 1.954407136135106e-09, 528.0
2.1254547411642685e-07, 2.374672284116135e-09, 529.0
2.0988925251066586e-07, 1.7935440473879258e-09, 531.0
2.2141443695345297e-07, 3.374796638824737e-09, 532.0
2.055490844914252e-07, 2.971797727781835e-09, 533.0
1.952153498961102e-07, 2.417808293302085e-09, 535.0
2.1538973821012217e-07, 1.005058546237218e-09, 541.0
2.1348382503543928e-07, 1.1120531165679629e-09, 542.0
2.1046799512532645e-07, 1.017491520610084e-09, 543.0
2.1292360838473125e-07, 1.1000809210473396e-09, 544.0
2.160404590180046e-07, 1.1294567514308332e-09, 545.0
2.1443949247315765e-07, 1.3135787236007032e-09, 546.0
2.1784476653636757e-07, 1.3708645341664189e-09, 547.0
2.126152874731005e-07, 1.3636062199036462e-09, 548.0
2.1064709380025287e-07, 1.5588932014842633e-09, 549.0
2.1421832484779038e-07, 1.6948424150341994e-09, 550.0
2.0741301021347164e-07, 1.7254922982661148e-09, 551.0
2.185669505453823e-07, 1.966707140191973e-09, 552.0
2.198625088667507e-07, 2.841344234731168e-09, 553.0
2.1246900500363146e-07, 1.4978762448810007e-09, 555.0
2.0529099147856827e-07, 1.6203885250317087e-09, 556.0
2.1009249807477062e-07, 1.894291042908975e-09, 557.0
2.1025755064120731e-07, 1.6860190559272727e-09, 558.0
2.1467181908333204e-07, 1.3027879973097963e-09, 559.0
2.1330133493635708e-07, 1.4470326897705667e-09, 560.0
2.137788618332794e-07, 1.812787798064501e-09, 561.0
2.0617851819401727e-07, 1.2470713409635607e-09, 562.0
2.1601246032223308e-07, 1.4531066235020869e-09, 563.0
2.1298748056420906e-07, 1.4546691807070336e-09, 564.0
2.217175712153518e-07, 1.6488813194806076e-09, 565.0
2.2530092559579348e-07, 1.8283418511741412e-09, 566.0
2.1236020210645377e-07, 2.1386155220239977e-09, 567.0
2.1106315848999803e-07, 2.1734024329674338e-09, 568.0
2.1668436662039707e-07, 2.5449531172913084e-09, 569.0
2.3166583567108093e-07, 2.3102873961887123e-09, 570.0
2.1417841258000802e-07, 1.888312011919774e-09, 571.0
2.1352542715760884e-07, 1.8498680973602373e-09, 572.0
2.1661949445598254e-07, 1.6133503242279594e-09, 573.0
2.2072429685620118e-07, 1.5537327683649866e-09, 574.0
2.1577040908899066e-07, 1.6049762496335493e-09, 575.0
2.1432113784507648e-07, 1.3323945134588392e-09, 576.0
2.1362818977656622e-07, 1.3760242775111192e-09, 577.0
2.1864747426918028e-07, 1.1184354617860876e-09, 578.0
2.0108931738426477e-07, 1.96732166041035e-09, 483.0
2.1115465081856921e-07, 1.937338239665734e-09, 485.0
2.2493227508643213e-07, 1.8274158578515889e-09, 487.0
2.0887301939489905e-07, 1.791946206602225e-09, 489.0
2.160340735690962e-07, 2.0188073708874586e-09, 491.0
2.1581995123714621e-07, 2.0065990453931046e-09, 493.0
2.0981271609883326e-07, 1.8458092285958925e-09, 495.0
2.1322252435144614e-07, 1.8044621002946145e-09, 497.0
2.115652996331052e-07, 1.389070513956274e-09, 502.0
2.1527345058994528e-07, 1.4318002843478703e-09, 504.0
2.0508686632063324e-07, 1.2635050925341267e-09, 506.0
2.0996910354061695e-07, 1.1757601807657697e-09, 508.0
2.1432758082375288e-07, 1.0584837320691933e-09, 510.0
2.1595968955890232e-07, 2.442644595475663e-09, 516.0
2.1022586373235662e-07, 2.0992199931655233e-09, 518.0
2.0100644966317106e-07, 1.7908475766244282e-09, 520.0
2.0800653538854603e-07, 1.547546543512286e-09, 522.0
2.095279252392403e-07, 1.3467657914453192e-09, 524.0
2.0605673702026092e-07, 1.3201642586497328e-09, 526.0
2.0188545728738526e-07, 1.3483510726358286e-09, 528.0
2.0132719704208998e-07, 1.8382101044146572e-09, 530.0
2.0792422415953283e-07, 1.9892204624518682e-09, 532.0
1.9650446997992093e-07, 2.326280930889344e-09, 534.0
2.1078784678546016e-07, 2.1941733008469203e-09, 536.0
2.0512225524776397e-07, 1.5432659156715642e-09, 538.0
2.0838599103953417e-07, 1.4098207604487402e-09, 540.0
2.0940316700385176e-07, 1.0772677773604685e-09, 542.0
2.1328021434218701e-07, 1.1940802235789394e-09, 544.0
2.0663041846779602e-07, 1.004959716925057e-09, 546.0
