Sound Speed (m/s), StdSSpeed (m/s), Damping Paremeter (m^2/s), Std Damping (m^2/s),  Temp (C)
2391.4513466337557, 0.36384370127356164, 7.650164182601736e-05, 1.0310715741096291e-06, 478.0
2389.3374371338277, 0.2126411705039178, 7.578018589256978e-05, 6.017082986208162e-07, 479.0
2386.6891115164626, 0.2354046173796388, 7.786981839035316e-05, 6.66337125928636e-07, 480.0
2381.210166047662, 0.25778508602853745, 7.993889604622792e-05, 7.287355171511257e-07, 481.0
2380.195983099254, 0.2584628096481284, 8.035679381631077e-05, 7.3059071447792e-07, 482.0
2379.9483225627937, 0.26898582229676254, 8.075316427332356e-05, 7.598067851170114e-07, 483.0
2376.521707196002, 0.2099826346591142, 7.99587091029782e-05, 5.935802448554939e-07, 484.0
2374.095072255543, 0.22071747364345215, 7.943476369424944e-05, 6.237704181023184e-07, 485.0
2377.9980939916395, 0.2037853071054398, 7.825534248979274e-05, 5.756382001092276e-07, 486.0
2377.0731640649947, 0.16662476172142196, 6.993979993053065e-05, 4.7094442889613585e-07, 487.0
2378.1595905182626, 0.16215527830677542, 6.214314564147608e-05, 4.5763907282083044e-07, 488.0
2376.603703944846, 0.15164059042489442, 5.6211422100158206e-05, 4.2761066623978283e-07, 489.0
2377.493747816568, 0.19932987149358236, 6.0172952291144106e-05, 5.618071428907023e-07, 490.0
2362.9925806536153, 0.25195614380206127, 7.793894136912784e-05, 7.118958568866791e-07, 491.0
2360.5442759503444, 0.28619553257071956, 8.03173673861454e-05, 8.078204156593064e-07, 492.0
2366.962424229298, 0.2442045713512094, 6.801639581921953e-05, 6.867741251158441e-07, 493.0
2374.5351548914327, 0.1506103268322395, 5.0953406879995684e-05, 4.223207366016669e-07, 494.0
2372.53181450275, 0.1565087682343523, 5.206854882363251e-05, 4.386294530437248e-07, 495.0
2371.8848714276837, 0.1665006684474215, 5.10962177097851e-05, 4.6698420789130776e-07, 496.0
2369.198426926573, 0.16808553414901758, 4.7461264400015464e-05, 4.714348888078801e-07, 497.0
2363.379732195928, 0.1990038546144656, 7.617835283089826e-05, 5.573029280974271e-07, 498.0
2362.0007281945036, 0.1826297992783342, 7.584133007795052e-05, 5.114562742422663e-07, 499.0
2360.4642843733636, 0.15565427995650355, 7.314924293874134e-05, 4.36878083749908e-07, 500.0
2359.1210621732475, 0.14516656771311046, 7.249035751261557e-05, 4.072328854179158e-07, 501.0
2358.3926437386353, 0.13831242283614956, 7.100718648958164e-05, 3.877293526500762e-07, 502.0
2357.879338522994, 0.13171336590916563, 7.253199509104777e-05, 3.6960463240326767e-07, 503.0
2358.8026006354016, 0.12578396133372538, 7.232377384732638e-05, 3.5291362422257794e-07, 504.0
2357.820201960537, 0.12130143836937157, 6.881122187437387e-05, 3.402504717409784e-07, 505.0
2356.7786137598528, 0.12518029470497624, 6.792289140089471e-05, 3.5113375884178274e-07, 506.0
2356.7456123751426, 0.13441372656423212, 7.031240088052658e-05, 3.7676875712022314e-07, 507.0
2356.6536962885243, 0.14272828382594335, 6.862412305717317e-05, 4.0023831661542367e-07, 508.0
2356.3627524987564, 0.16480966127737104, 7.006988434062926e-05, 4.61646289575195e-07, 509.0
2356.389414098645, 0.20499157412157262, 7.119447430356861e-05, 5.74325497227149e-07, 510.0
2354.640182768483, 0.2809313148241607, 7.67224851268925e-05, 7.852135815985374e-07, 511.0
2354.167474440267, 0.21139190481937348, 7.297665495851112e-05, 5.909798641329299e-07, 512.0
2351.5013476889153, 0.1337697489557088, 6.251344250531797e-05, 3.7490157597566326e-07, 513.0
2349.6533922127487, 0.13955420840644667, 6.246848240641877e-05, 3.90420248404066e-07, 514.0
2347.494751391662, 0.1421956829429691, 6.420049306814027e-05, 3.978148230631619e-07, 515.0
2343.863611257899, 0.13896343101835001, 6.645762848905341e-05, 3.8840528539725016e-07, 516.0
2341.8883708301723, 0.15747251732070786, 6.76748102019237e-05, 4.39581202780678e-07, 517.0
2339.1781619809817, 0.1465570901610016, 6.891348736087683e-05, 4.09376805391407e-07, 518.0
2337.5934883856758, 0.1435405228945446, 7.046443692274109e-05, 4.006506744690804e-07, 519.0
2335.2638950566097, 0.13771883913749902, 7.03359666119957e-05, 3.8438475902351735e-07, 520.0
