LECROYWM8500,500500138,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,23-Nov-2021 08:14:19,0                 
Time,Ampl
2.2395e-007,-0.000161017
2.24e-007,-0.000135323
2.2405e-007,-7.87956e-005
2.241e-007,0
2.2415e-007,5.99531e-005
2.242e-007,0.000157591
2.2425e-007,0.000265507
2.243e-007,0.000381987
2.2435e-007,0.000476199
2.244e-007,0.000537865
2.2445e-007,0.000585828
2.245e-007,0.000637216
2.2455e-007,0.000685179
2.246e-007,0.000673188
2.2465e-007,0.000671475
2.247e-007,0.000635503
2.2475e-007,0.000544717
2.248e-007,0.000428237
2.2485e-007,0.000359719
2.249e-007,0.000219257
2.2495e-007,0.000121619
2.25e-007,1.71295e-005
2.2505e-007,-7.53697e-005
2.251e-007,-0.000154165
2.2515e-007,-0.000224396
2.252e-007,-0.000244951
2.2525e-007,-0.000200415
2.253e-007,-0.000190137
2.2535e-007,-0.000109629
2.254e-007,-0.000106203
2.2545e-007,-9.07862e-005
2.255e-007,-9.93509e-005
2.2555e-007,-0.000152452
2.256e-007,-0.000226109
2.2565e-007,-0.000282636
2.257e-007,-0.000371709
2.2575e-007,-0.000450505
2.258e-007,-0.00050018
2.2585e-007,-0.000512171
2.259e-007,-0.000491616
2.2595e-007,-0.000405968
2.26e-007,-0.000277497
2.2605e-007,-0.000101064
2.261e-007,6.5092e-005
2.2615e-007,0.000244951
2.262e-007,0.000404255
2.2625e-007,0.000513884
2.263e-007,0.000618374
2.2635e-007,0.00060467
2.264e-007,0.000614948
2.2645e-007,0.000544717
2.265e-007,0.000508745
2.2655e-007,0.000411107
2.266e-007,0.000304905
2.2665e-007,0.000200415
2.267e-007,8.39344e-005
2.2675e-007,1.02777e-005
2.268e-007,-5.31014e-005
2.2685e-007,-8.73603e-005
2.269e-007,-0.000113054
2.2695e-007,-0.000107916
2.27e-007,-0.000121619
2.2705e-007,-0.000123332
2.271e-007,-0.00011648
2.2715e-007,-5.99531e-005
2.272e-007,-5.82402e-005
2.2725e-007,1.71295e-006
2.273e-007,5.65272e-005
2.2735e-007,5.48143e-005
2.274e-007,9.5925e-005
2.2745e-007,0.000183285
2.275e-007,0.000184998
2.2755e-007,0.000193563
2.276e-007,0.000231248
2.2765e-007,0.000260368
2.277e-007,0.000286062
2.2775e-007,0.000318608
2.278e-007,0.000306617
2.2785e-007,0.000304905
2.279e-007,0.000268933
2.2795e-007,0.00026722
2.28e-007,0.000196989
2.2805e-007,0.000183285
2.281e-007,0.000121619
2.2815e-007,8.56473e-005
2.282e-007,5.65272e-005
2.2825e-007,2.74071e-005
2.283e-007,4.96755e-005
2.2835e-007,3.42589e-005
2.284e-007,5.48143e-005
