Thermal Diffusivity (m^2/s), StdTDiff (m^2/s) Temp (C)
1.945771329278102e-07, 2.3442569982017695e-09, 490.0
1.914907717535818e-07, 2.117804466943272e-09, 491.0
1.8228543287268057e-07, 2.134456849565863e-09, 492.0
1.8650188791654807e-07, 2.2822498759995775e-09, 493.0
1.9732451743881095e-07, 2.119688533893385e-09, 494.0
1.950219507335564e-07, 2.1015273683539345e-09, 495.0
1.8702448754285938e-07, 1.736677593718216e-09, 496.0
1.8371709597034425e-07, 1.7500762248606363e-09, 497.0
1.7546248103791583e-07, 1.9640424458224676e-09, 498.0
1.952005175465826e-07, 2.1191378192864368e-09, 499.0
1.834761890408733e-07, 1.7502061467559773e-09, 500.0
1.8003649880191e-07, 1.8547312435642247e-09, 501.0
1.7689611234823783e-07, 2.193902446253583e-09, 502.0
1.940797562853204e-07, 2.236384831535903e-09, 503.0
1.9808906493079343e-07, 2.789180283343261e-09, 504.0
1.8253845486589126e-07, 1.8344557566107505e-09, 505.0
1.792021438478894e-07, 1.871158824325054e-09, 506.0
1.9610752964425735e-07, 1.7780131102393951e-09, 507.0
1.9427493824747221e-07, 1.6996148463715025e-09, 508.0
1.8881498836527216e-07, 1.7851047247429872e-09, 509.0
1.8646598403577371e-07, 1.49817359256121e-09, 510.0
1.8657389217708316e-07, 1.6222697190445367e-09, 511.0
1.9183981034501997e-07, 1.5172296354135283e-09, 512.0
1.943782900717324e-07, 1.5191191573929651e-09, 513.0
1.8835107055037359e-07, 1.4348153879990914e-09, 514.0
1.923592348082003e-07, 1.2649393232664577e-09, 515.0
1.8503596535598036e-07, 1.4614317953543239e-09, 516.0
1.935793582230932e-07, 1.7350942533165943e-09, 517.0
1.8124917166250494e-07, 1.6729842956229056e-09, 518.0
1.827795813430487e-07, 1.6506145492363011e-09, 519.0
1.8924927968052925e-07, 1.7137356553325155e-09, 520.0
1.9277417621986387e-07, 1.8694250926871484e-09, 521.0
1.8005337584619903e-07, 1.7460627176205982e-09, 522.0
1.940843638149089e-07, 1.8733458909925796e-09, 523.0
2.0048971515878632e-07, 1.901957051321011e-09, 524.0
1.9071581423028424e-07, 1.8040236653429714e-09, 525.0
1.9748995212027557e-07, 1.516706160677666e-09, 526.0
1.9870000459076357e-07, 1.3933153254599201e-09, 527.0
1.8978504509113435e-07, 1.3909379828939719e-09, 528.0
2.0177745563020578e-07, 1.3000591535590814e-09, 529.0
1.9611778614251385e-07, 1.0610209393037906e-09, 530.0
1.9232955119161726e-07, 1.1617518383626931e-09, 531.0
1.8731100502291179e-07, 1.144243684271381e-09, 532.0
1.9238830487291015e-07, 1.129083768435476e-09, 533.0
1.901156612288632e-07, 1.1319746672062917e-09, 534.0
1.9755059191652016e-07, 1.1792464558946474e-09, 535.0
1.8423006882765785e-07, 1.2732212073610125e-09, 536.0
1.8973437999505584e-07, 1.2287188023853605e-09, 537.0
1.8413068906549307e-07, 1.3731187804400744e-09, 538.0
1.9803799227665053e-07, 1.3936690132961168e-09, 539.0
1.990893487455714e-07, 1.5306315040600266e-09, 540.0
1.8929498142033646e-07, 1.4186981797707608e-09, 541.0
2.0326204592734235e-07, 1.5844886630304304e-09, 542.0
2.0520922986267813e-07, 1.471634247417253e-09, 543.0
1.9262877232314618e-07, 1.5931835998744563e-09, 544.0
2.0025776779214288e-07, 1.4118275698269373e-09, 545.0
1.9759833716685342e-07, 1.2551086108475328e-09, 546.0
1.9197705139308144e-07, 1.0511430262283426e-09, 547.0
2.056945569732721e-07, 1.068259444750823e-09, 548.0
2.023533606564436e-07, 1.156136151717777e-09, 549.0
1.9510500017211625e-07, 1.023383540922731e-09, 550.0
1.9120103462635864e-07, 1.0087461407995764e-09, 551.0
2.0027071924838407e-07, 1.055002656621475e-09, 552.0
1.965113497227871e-07, 1.1063445021778624e-09, 553.0
1.9756336295318608e-07, 1.0092512829958444e-09, 554.0
1.949195113090156e-07, 1.0773308329755525e-09, 555.0
1.9681575408988625e-07, 1.0656221761415686e-09, 556.0
1.9984350687237846e-07, 1.2206076537615555e-09, 557.0
2.014596636650043e-07, 1.2631227439358716e-09, 558.0
2.0051466647171487e-07, 1.1725893554367877e-09, 559.0
1.9653779994951747e-07, 1.2135253382301592e-09, 560.0
1.9318399886940852e-07, 1.1097652926444916e-09, 561.0
2.0238042419359123e-07, 1.0981817398612784e-09, 562.0
2.0175348198810678e-07, 1.0426330135781932e-09, 563.0
2.0087847877749307e-07, 9.846108876181258e-10, 564.0
2.0170779122818912e-07, 9.843340735016991e-10, 565.0
2.019444116868739e-07, 9.052803802196437e-10, 566.0
2.0026271771667882e-07, 9.49943067487705e-10, 567.0
2.0669656712674515e-07, 1.0543250781670997e-09, 568.0
1.9924061253675324e-07, 9.706485798926851e-10, 569.0
1.9638503833469933e-07, 9.753597857771488e-10, 570.0
2.0064720835688889e-07, 1.2430473717718457e-09, 571.0
2.1027946271000568e-07, 1.329529818044328e-09, 572.0
2.088176866520761e-07, 1.6267449705111206e-09, 573.0
2.0047415012408552e-07, 1.420181854189962e-09, 574.0
2.0438286141616236e-07, 1.2246858394967718e-09, 575.0
2.037026682121744e-07, 9.871366998981418e-10, 576.0
2.0489091106585228e-07, 1.2322151052088589e-09, 577.0
2.0293622789702045e-07, 7.960840708877175e-10, 578.0
2.1046768465697876e-07, 4.3658328735067e-10, 579.0
