Thermal Diffusivity (m^2/s), StdTDiff (m^2/s) Temp (C)
2.086504737343833e-07, 1.2166719331551235e-09, 474.0
2.134116388872099e-07, 1.3248799244732122e-09, 475.0
2.1446764199165044e-07, 1.5467745643060893e-09, 476.0
2.1406623707164945e-07, 1.8688612020444328e-09, 477.0
2.1256455027121477e-07, 2.2051837084174e-09, 478.0
2.0270829399842383e-07, 2.510767761788683e-09, 479.0
2.062969397990031e-07, 2.507336050606599e-09, 480.0
2.0585188965147313e-07, 3.0085911852270727e-09, 481.0
2.2402611407746218e-07, 3.091176848684942e-09, 482.0
1.9304258404790465e-07, 2.6973134452649348e-09, 483.0
1.9671170378642181e-07, 1.618114121318236e-09, 490.0
1.959771565949957e-07, 1.8598006619837546e-09, 491.0
1.947773127472943e-07, 2.2613305479092314e-09, 492.0
2.032979258051406e-07, 2.1805513762484466e-09, 493.0
2.00397964305426e-07, 2.0790169920741845e-09, 494.0
2.072897646576196e-07, 1.6886166703942191e-09, 495.0
1.9726990366430185e-07, 1.237546867571868e-09, 496.0
1.909906506806408e-07, 1.3493725117612312e-09, 497.0
1.9616483753652938e-07, 1.5300471567803497e-09, 498.0
1.9762353853851063e-07, 1.7259825556075619e-09, 499.0
1.83991397749994e-07, 1.4373030728628024e-09, 500.0
1.9481721567183607e-07, 1.6588759495937326e-09, 501.0
1.9706098904766128e-07, 1.1744108705369951e-09, 502.0
2.0018525061236914e-07, 2.174069329886542e-09, 503.0
2.0047820636760212e-07, 1.2415348998421246e-09, 504.0
1.935711937393949e-07, 1.139420958422614e-09, 505.0
2.0152769059465383e-07, 1.461835701253064e-09, 506.0
2.0386972464601275e-07, 1.2762541499850864e-09, 507.0
1.8812044487594408e-07, 8.695227208942486e-10, 508.0
2.0155499860219326e-07, 9.394083195653949e-10, 509.0
2.0601029725125718e-07, 1.0829800980181846e-09, 510.0
1.862229255971749e-07, 7.4234944760665e-10, 511.0
1.9089429063182986e-07, 6.772428451919314e-10, 512.0
2.0004830279406565e-07, 9.779632900782922e-10, 513.0
1.9415549245771846e-07, 7.188874287285865e-10, 514.0
1.9751514320429134e-07, 8.155310783345343e-10, 515.0
2.0447491850236905e-07, 9.768463844011147e-10, 516.0
2.049049291078111e-07, 9.185998571898719e-10, 517.0
2.122681154742618e-07, 1.2251846993747054e-09, 518.0
2.0404616345764947e-07, 1.155404918577625e-09, 519.0
2.1143789515526874e-07, 1.1045544101674063e-09, 520.0
2.0784823714533686e-07, 1.655248349585691e-09, 521.0
2.115685801576985e-07, 1.2140346453676583e-09, 522.0
2.0881507047376718e-07, 1.216459512598139e-09, 523.0
2.1346084968249414e-07, 1.2803441499522953e-09, 524.0
2.0847389238863666e-07, 1.1304637446749466e-09, 525.0
2.0865844006180156e-07, 9.711195820131525e-10, 526.0
2.1037997721349498e-07, 8.85965048956293e-10, 527.0
2.0847649278109014e-07, 1.0073353181541343e-09, 528.0
2.074758745245569e-07, 7.898063172852925e-10, 529.0
2.0345335778859134e-07, 7.277003611145569e-10, 530.0
2.0787638527354606e-07, 7.537348541510138e-10, 531.0
2.0663687813242972e-07, 7.539025825752014e-10, 532.0
2.0183808139992471e-07, 8.489234962034938e-10, 533.0
2.0756507072425217e-07, 8.079017223304201e-10, 534.0
2.0121201085491408e-07, 8.479874888945754e-10, 535.0
2.0002751045068012e-07, 1.0377838652060561e-09, 536.0
2.0475785196765338e-07, 1.2620056440595072e-09, 537.0
2.085565440991166e-07, 1.4111808755163881e-09, 538.0
2.092504578205689e-07, 1.1131968459125845e-09, 539.0
2.131367150331233e-07, 1.3369173227066593e-09, 540.0
2.086862435803959e-07, 1.1652148034599057e-09, 541.0
2.0758256009186594e-07, 1.204631526115346e-09, 542.0
2.0624082900391498e-07, 1.1330102875220653e-09, 543.0
2.1192689907558175e-07, 9.998562392439068e-10, 544.0
2.1076107377403323e-07, 9.628377012801723e-10, 545.0
2.0213295373501775e-07, 1.0423347931264988e-09, 546.0
2.0465859578213441e-07, 9.603320684944323e-10, 547.0
2.064169876748173e-07, 9.146984595999977e-10, 548.0
2.0958308871685164e-07, 1.10912871837255e-09, 549.0
2.0290723737962335e-07, 9.123345310089652e-10, 550.0
2.0503290468132006e-07, 1.2287767677712796e-09, 551.0
2.0505841309975565e-07, 1.0654981765747374e-09, 552.0
1.992131620109977e-07, 1.072450014321163e-09, 553.0
1.9956422119437268e-07, 1.2079189095107225e-09, 554.0
2.1065721693382544e-07, 1.2759288026737645e-09, 555.0
2.052375896557261e-07, 1.4629385598700858e-09, 556.0
2.1357279121515377e-07, 1.6045724034900583e-09, 557.0
2.1130278143054518e-07, 1.6524007330957207e-09, 558.0
2.1341554139440666e-07, 1.0072444664631089e-09, 560.0
2.0688959453029147e-07, 1.0542837235643325e-09, 561.0
2.0884523255379349e-07, 1.0268696513093701e-09, 562.0
2.077184109022499e-07, 9.581915985814608e-10, 563.0
2.0636786954443695e-07, 8.685215205459689e-10, 564.0
2.0896822544203845e-07, 8.854768472357849e-10, 565.0
2.0495273436260804e-07, 9.853138810915146e-10, 566.0
2.057120591842385e-07, 9.53663450014893e-10, 567.0
2.0911571852162972e-07, 9.868728726137692e-10, 568.0
2.034716287769083e-07, 1.0043714370435987e-09, 569.0
2.05483393513891e-07, 1.15016972871773e-09, 570.0
2.0469391034733744e-07, 1.4366771840350297e-09, 571.0
2.0436300182022975e-07, 8.107049642555126e-10, 573.0
2.147636372312514e-07, 1.345847933741027e-09, 574.0
2.113223085522995e-07, 1.2577230171364576e-09, 575.0
2.115986593105538e-07, 1.2415054313579796e-09, 576.0
2.1617238722509423e-07, 1.3585681774520035e-09, 577.0
2.1407781091665182e-07, 1.152094899290962e-09, 578.0
1.8001611856969106e-07, 2.075522433562722e-09, 478.0
1.834443216900206e-07, 2.2276595839677384e-09, 479.0
1.7445537102639985e-07, 2.4084727471998883e-09, 480.0
1.889486984999779e-07, 2.27746740078744e-09, 481.0
1.8578020507248452e-07, 2.38985880718721e-09, 482.0
1.8080726317551117e-07, 2.023736470931396e-09, 483.0
1.827453945229272e-07, 2.7830049560214562e-09, 484.0
1.9318938275877006e-07, 2.870715405088225e-09, 485.0
1.9417978158661982e-07, 2.5977224039021885e-09, 486.0
1.881012152207835e-07, 2.44340296800897e-09, 487.0
1.903073712993507e-07, 2.541575098591497e-09, 488.0
1.9813062394010892e-07, 2.6216964563100644e-09, 489.0
