LECROYWM8500,500500138,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,23-Nov-2021 08:20:38,0                 
Time,Ampl
2.2395e-007,0.000212405
2.24e-007,0.000207267
2.2405e-007,0.000246664
2.241e-007,0.000241526
2.2415e-007,0.000258655
2.242e-007,0.000260368
2.2425e-007,0.0002381
2.243e-007,0.000224396
2.2435e-007,0.000155878
2.244e-007,0.000107916
2.2445e-007,4.45366e-005
2.245e-007,-3.2546e-005
2.2455e-007,-0.000111342
2.246e-007,-0.000171295
2.2465e-007,-0.000227822
2.247e-007,-0.000243238
2.2475e-007,-0.000219257
2.248e-007,-0.000161017
2.2485e-007,-7.53697e-005
2.249e-007,-4.45366e-005
2.2495e-007,3.0833e-005
2.25e-007,8.90732e-005
2.2505e-007,0.000143888
2.251e-007,0.000174721
2.2515e-007,0.000166156
2.252e-007,0.000138749
2.2525e-007,6.16661e-005
2.253e-007,-3.42589e-006
2.2535e-007,-0.000121619
2.254e-007,-0.000239813
2.2545e-007,-0.000327173
2.255e-007,-0.000390552
2.2555e-007,-0.000436801
2.256e-007,-0.000435089
2.2565e-007,-0.000373422
2.257e-007,-0.000318608
2.2575e-007,-0.000224396
2.258e-007,-8.90732e-005
2.2585e-007,3.93978e-005
2.259e-007,0.000190137
2.2595e-007,0.00030833
2.26e-007,0.000397404
2.2605e-007,0.000495042
2.261e-007,0.000541291
2.2615e-007,0.000539578
2.262e-007,0.000522449
2.2625e-007,0.000472773
2.263e-007,0.000416246
2.2635e-007,0.000337451
2.264e-007,0.000337451
2.2645e-007,0.000272359
2.265e-007,0.000260368
2.2655e-007,0.000253516
2.266e-007,0.000262081
2.2665e-007,0.000298053
2.267e-007,0.000340876
2.2675e-007,0.000359719
2.268e-007,0.000378561
2.2685e-007,0.000364858
2.269e-007,0.000339163
2.2695e-007,0.000289488
2.27e-007,0.000253516
2.2705e-007,0.000181572
2.271e-007,9.93509e-005
2.2715e-007,2.56942e-005
2.272e-007,-3.93978e-005
2.2725e-007,-4.96755e-005
2.273e-007,-9.42121e-005
2.2735e-007,-9.7638e-005
2.274e-007,-8.56473e-005
2.2745e-007,-6.3379e-005
