LECROYWM8500,500500138,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,17-Nov-2021 10:41:04,0                 
Time,Ampl
2.2395e-007,0.000215831
2.24e-007,0.000340876
2.2405e-007,0.000477912
2.241e-007,0.000585828
2.2415e-007,0.000719438
2.242e-007,0.000789669
2.2425e-007,0.000847909
2.243e-007,0.000835918
2.2435e-007,0.000832492
2.244e-007,0.000775965
2.2445e-007,0.000681753
2.245e-007,0.00054643
2.2455e-007,0.000440227
2.246e-007,0.000347728
2.2465e-007,0.000241526
2.247e-007,0.000159304
2.2475e-007,7.53697e-005
2.248e-007,7.53697e-005
2.2485e-007,8.39344e-005
2.249e-007,0.000126758
2.2495e-007,0.000130184
2.25e-007,0.000183285
2.2505e-007,0.000152452
2.251e-007,0.000140462
2.2515e-007,8.22214e-005
2.252e-007,-2.56942e-005
2.2525e-007,-0.000118193
2.253e-007,-0.000260368
2.2535e-007,-0.000373422
2.254e-007,-0.000493329
2.2545e-007,-0.000551569
2.255e-007,-0.000613235
2.2555e-007,-0.000568698
2.256e-007,-0.000495042
2.2565e-007,-0.000330599
2.257e-007,-0.000196989
2.2575e-007,1.19906e-005
2.258e-007,0.000205554
2.2585e-007,0.000366571
2.259e-007,0.000496755
2.2595e-007,0.000602957
2.26e-007,0.000683466
2.2605e-007,0.000710873
2.261e-007,0.000659485
2.2615e-007,0.000554995
2.262e-007,0.00042995
2.2625e-007,0.000224396
2.263e-007,5.13884e-005
2.2635e-007,-0.000149026
2.264e-007,-0.00032546
2.2645e-007,-0.00047106
2.265e-007,-0.000590967
2.2655e-007,-0.000666336
2.266e-007,-0.000704021
2.2665e-007,-0.00070916
2.267e-007,-0.000683466
2.2675e-007,-0.000628652
2.268e-007,-0.000543004
2.2685e-007,-0.000465922
2.269e-007,-0.000363145
2.2695e-007,-0.000214118
2.27e-007,-0.000114767
2.2705e-007,1.37036e-005
2.271e-007,0.000140462
2.2715e-007,0.000207267
2.272e-007,0.000318608
2.2725e-007,0.000385413
2.273e-007,0.000436801
2.2735e-007,0.00044194
2.274e-007,0.000448792
2.2745e-007,0.000373422
2.275e-007,0.000289488
2.2755e-007,0.000222683
2.276e-007,9.5925e-005
2.2765e-007,-2.05554e-005
2.277e-007,-0.000149026
2.2775e-007,-0.000253516
2.278e-007,-0.000318608
2.2785e-007,-0.000349441
2.279e-007,-0.0003837
2.2795e-007,-0.000332312
2.28e-007,-0.000274071
2.2805e-007,-0.000166156
2.281e-007,-6.68049e-005
2.2815e-007,4.28237e-005
2.282e-007,0.000131897
2.2825e-007,0.000219257
2.283e-007,0.000265507
2.2835e-007,0.000298053
2.284e-007,0.000323747
2.2845e-007,0.000311756
2.285e-007,0.000332312
2.2855e-007,0.000322034
2.286e-007,0.000248377
2.2865e-007,0.000222683
2.287e-007,0.000164443
2.2875e-007,0.000131897
2.288e-007,6.3379e-005
2.2885e-007,2.56942e-005
2.289e-007,-2.05554e-005
2.2895e-007,-1.19906e-005
2.29e-007,1.02777e-005
2.2905e-007,3.0833e-005
2.291e-007,2.56942e-005
2.2915e-007,4.96755e-005
2.292e-007,3.76848e-005
2.2925e-007,4.96755e-005
2.293e-007,5.99531e-005
2.2935e-007,7.02308e-005
2.294e-007,5.82402e-005
2.2945e-007,9.07862e-005
2.295e-007,7.53697e-005
2.2955e-007,5.31014e-005
2.296e-007,4.96755e-005
2.2965e-007,2.05554e-005
2.297e-007,8.56473e-006
2.2975e-007,6.85179e-006
2.298e-007,-3.42589e-006
2.2985e-007,-6.85179e-006
2.299e-007,3.42589e-006
2.2995e-007,8.56473e-006
2.3e-007,-8.56473e-006
2.3005e-007,-6.68049e-005
2.301e-007,-0.000113054
2.3015e-007,-0.000135323
2.302e-007,-0.00016273
2.3025e-007,-0.000178146
2.303e-007,-0.000224396
2.3035e-007,-0.000253516
2.304e-007,-0.000289488
2.3045e-007,-0.000318608
2.305e-007,-0.00035458
2.3055e-007,-0.000351154
2.306e-007,-0.000303192
2.3065e-007,-0.000256942
2.307e-007,-0.000214118
2.3075e-007,-0.000137036
2.308e-007,-8.56473e-006
2.3085e-007,9.42121e-005
2.309e-007,0.000205554
2.3095e-007,0.000313469
2.31e-007,0.00042995
2.3105e-007,0.000495042
2.311e-007,0.000582402
2.3115e-007,0.000647494
2.312e-007,0.000664623
2.3125e-007,0.000664623
2.313e-007,0.000620087
2.3135e-007,0.000561847
2.314e-007,0.000519023
2.3145e-007,0.000435089
2.315e-007,0.000356293
2.3155e-007,0.000251803
2.316e-007,0.000171295
2.3165e-007,6.68049e-005
2.317e-007,8.56473e-006
2.3175e-007,-4.45366e-005
2.318e-007,-6.3379e-005
2.3185e-007,-7.02308e-005
2.319e-007,-4.62496e-005
2.3195e-007,-8.56473e-006
2.32e-007,4.45366e-005
2.3205e-007,0.000126758
2.321e-007,0.000193563
2.3215e-007,0.000284349
2.322e-007,0.000349441
2.3225e-007,0.000397404
2.323e-007,0.000395691
2.3235e-007,0.000392265
2.324e-007,0.000322034
2.3245e-007,0.000227822
2.325e-007,0.000130184
2.3255e-007,5.13884e-006
2.326e-007,-4.79625e-005
2.3265e-007,-0.000147313
2.327e-007,-0.000215831
2.3275e-007,-0.000256942
2.328e-007,-0.000304905
2.3285e-007,-0.000342589
2.329e-007,-0.000334025
2.3295e-007,-0.000361432
2.33e-007,-0.000316895
2.3305e-007,-0.000287775
2.331e-007,-0.000292914
2.3315e-007,-0.000226109
2.332e-007,-0.000210692
2.3325e-007,-0.000167869
2.333e-007,-8.39344e-005
2.3335e-007,-1.19906e-005
2.334e-007,9.42121e-005
2.3345e-007,0.000195276
2.335e-007,0.000320321
2.3355e-007,0.000416246
2.336e-007,0.000529301
2.3365e-007,0.000618374
2.337e-007,0.000697169
2.3375e-007,0.000751984
2.338e-007,0.000801659
2.3385e-007,0.000775965
2.339e-007,0.000731428
2.3395e-007,0.000686892
2.34e-007,0.000536152
2.3405e-007,0.000433376
2.341e-007,0.000284349
2.3415e-007,0.000157591
2.342e-007,2.91201e-005
2.3425e-007,-5.13884e-005
2.343e-007,-0.000126758
2.3435e-007,-0.000179859
2.344e-007,-0.000166156
2.3445e-007,-0.000130184
2.345e-007,-3.2546e-005
2.3455e-007,5.13884e-005
2.346e-007,0.000154165
2.3465e-007,0.000248377
2.347e-007,0.000380274
2.3475e-007,0.000462496
2.348e-007,0.000534439
2.3485e-007,0.000608096
2.349e-007,0.000599531
2.3495e-007,0.000584115
2.35e-007,0.000551569
2.3505e-007,0.000496755
2.351e-007,0.000388839
2.3515e-007,0.000311756
2.352e-007,0.000227822
2.3525e-007,0.000196989
2.353e-007,9.42121e-005
2.3535e-007,5.13884e-005
2.354e-007,2.05554e-005
2.3545e-007,1.88424e-005
2.355e-007,6.16661e-005
2.3555e-007,0.000119906
2.356e-007,0.000215831
2.3565e-007,0.000356293
2.357e-007,0.000472773
2.3575e-007,0.000594393
2.358e-007,0.000681753
2.3585e-007,0.000777678
2.359e-007,0.000799946
2.3595e-007,0.000873603
2.36e-007,0.000887306
2.3605e-007,0.000863325
2.361e-007,0.000810224
2.3615e-007,0.000758835
