Thermal Diffusivity (m^2/s), StdTDiff (m^2/s) Temp (C)
2.0288487284902468e-07, 5.593036184532786e-10, 477.0
2.0067023527024413e-07, 6.750506481485401e-10, 478.0
2.0667062981728416e-07, 8.102462523086311e-10, 479.0
2.0514508750338416e-07, 6.818975622928249e-10, 480.0
2.0871183198041831e-07, 7.443111911292447e-10, 481.0
2.0441994250966632e-07, 7.426795099737983e-10, 482.0
2.0453240074890467e-07, 6.723518209718307e-10, 483.0
2.0435765639238812e-07, 6.543891226354902e-10, 484.0
1.9974751951617026e-07, 5.943705818302563e-10, 485.0
2.018529627332416e-07, 6.705581674557389e-10, 486.0
2.0163942766027477e-07, 5.924726314541542e-10, 487.0
2.0583246067537358e-07, 6.267874616818382e-10, 488.0
2.0599476047299092e-07, 5.883971441494474e-10, 489.0
2.040560240235056e-07, 5.806032320737799e-10, 490.0
2.0431642535433452e-07, 5.371450623454253e-10, 491.0
2.0710115231998487e-07, 5.919283405684588e-10, 492.0
2.022243387239434e-07, 5.626233781656456e-10, 493.0
2.0500035186129608e-07, 5.351149034247272e-10, 494.0
2.052130703438097e-07, 4.704808807372379e-10, 495.0
2.0520210296563033e-07, 5.217255333878426e-10, 496.0
2.044713865667455e-07, 4.699719271703422e-10, 497.0
2.0496635164510864e-07, 4.907657355662616e-10, 498.0
2.0951195953446277e-07, 5.069521790371408e-10, 499.0
2.077809192935867e-07, 4.557256431746181e-10, 500.0
2.0407068258557078e-07, 4.05191840185063e-10, 501.0
2.0554052036293155e-07, 4.0212967449406267e-10, 502.0
2.0572083410500437e-07, 4.984481657758407e-10, 503.0
2.0458224853951536e-07, 4.131724287496498e-10, 504.0
2.045418941256954e-07, 3.903816790067408e-10, 505.0
2.0500419794310102e-07, 3.8188004161580065e-10, 506.0
2.0426407507877239e-07, 4.435830447477853e-10, 507.0
2.0459684944560058e-07, 4.3570713891861543e-10, 508.0
2.04679741551917e-07, 4.145513295753346e-10, 509.0
2.064358431916121e-07, 4.39726946512824e-10, 510.0
2.0374999419914357e-07, 4.448005502201921e-10, 511.0
2.032889713467689e-07, 4.6510199420179663e-10, 512.0
2.0703417013082004e-07, 4.719324622211229e-10, 513.0
2.0813795337437604e-07, 4.5579557027431897e-10, 514.0
2.0751798767272132e-07, 4.505075772217204e-10, 515.0
2.0767839339730518e-07, 4.896966865534543e-10, 516.0
2.0905739285013842e-07, 4.617955820756709e-10, 517.0
2.0566083201742993e-07, 4.0710722164193757e-10, 518.0
2.0604978735852341e-07, 4.5837057766975796e-10, 519.0
2.0561898137538925e-07, 3.925840403410085e-10, 520.0
2.0645845629516077e-07, 4.148469477775641e-10, 521.0
2.0684660690852367e-07, 4.3898860174679335e-10, 522.0
2.0428847771095392e-07, 4.2378417719631807e-10, 523.0
2.0469328903769467e-07, 4.4768381608034367e-10, 524.0
2.0497256919455382e-07, 4.572626549302579e-10, 525.0
2.0657659821812087e-07, 4.791417696440176e-10, 526.0
2.1020681762565485e-07, 5.20030070026721e-10, 527.0
2.0813279837706954e-07, 4.942098002655779e-10, 528.0
2.0726087438761007e-07, 4.969750815726174e-10, 529.0
2.0806071426118162e-07, 4.824403311998239e-10, 530.0
2.081832717683639e-07, 4.735045539399321e-10, 531.0
2.067593380587172e-07, 5.1967420016911e-10, 532.0
2.052160344252804e-07, 4.882662857136904e-10, 533.0
2.0822465975827197e-07, 5.18744671839131e-10, 534.0
2.092110917604169e-07, 5.031489106706604e-10, 535.0
2.0721892725030302e-07, 5.432264325108336e-10, 536.0
2.064547467333001e-07, 4.5982515840262573e-10, 537.0
2.0821398219804335e-07, 4.589079996687779e-10, 538.0
2.0782995255461522e-07, 4.672960642723295e-10, 539.0
2.1006367606152486e-07, 4.4807644431996536e-10, 540.0
2.1052981677414996e-07, 4.406535037191782e-10, 541.0
2.0908600020399137e-07, 4.6229195237950897e-10, 542.0
2.0667133117805535e-07, 4.3783424625533185e-10, 543.0
2.086807979267832e-07, 5.492970409249389e-10, 544.0
2.083609863748241e-07, 4.832293079916086e-10, 545.0
2.099546064381801e-07, 5.019661011705812e-10, 546.0
2.0866952194957196e-07, 5.376221259181054e-10, 547.0
2.0836125567505386e-07, 5.107756702041613e-10, 548.0
2.0059345275386793e-07, 5.240886176643835e-10, 477.0
1.9894291243473752e-07, 4.3331900615904896e-10, 479.0
2.0248051960933054e-07, 4.1722228204792513e-10, 481.0
2.0178203589733754e-07, 4.09066924080415e-10, 483.0
2.036013564249217e-07, 4.352232319560102e-10, 485.0
2.0536804377092914e-07, 4.685470123442446e-10, 487.0
2.0158270297132406e-07, 4.32147983013212e-10, 489.0
2.0418570393929544e-07, 5.90113827445946e-10, 492.0
2.0154600833988962e-07, 4.798832735722892e-10, 494.0
2.0409590968888694e-07, 4.588675157817719e-10, 496.0
2.031147305361188e-07, 4.578151163095188e-10, 498.0
2.0280832982199248e-07, 4.4836666266020435e-10, 500.0
2.0486366830773534e-07, 4.541491642098151e-10, 502.0
2.0601542815730503e-07, 4.696219138228572e-10, 504.0
2.0252269159655833e-07, 5.000505491858268e-10, 506.0
2.0309627367698602e-07, 5.266478248028346e-10, 508.0
2.0634192201121518e-07, 5.064093398973663e-10, 510.0
2.0655701021513972e-07, 5.41811304952204e-10, 512.0
2.0784968119608726e-07, 5.424693360756701e-10, 514.0
2.070005779707566e-07, 4.798255370915909e-10, 516.0
2.0604245508076705e-07, 4.25112136880618e-10, 518.0
2.0625058250980897e-07, 3.9175660698017896e-10, 520.0
2.0869837237793046e-07, 4.2472668732803393e-10, 522.0
2.0649074723464255e-07, 4.2540342935676184e-10, 524.0
2.0630221090934044e-07, 4.4843453520026845e-10, 526.0
2.103034233766309e-07, 6.101364917194974e-10, 528.0
2.0876231662725692e-07, 4.5492134376504443e-10, 530.0
2.0933213292471364e-07, 4.275207041762078e-10, 532.0
2.0855610627347747e-07, 3.796758589995894e-10, 534.0
2.0941771574011555e-07, 4.3337577009650704e-10, 536.0
2.0856537979744683e-07, 3.8890707657153325e-10, 538.0
2.0913391953584617e-07, 3.572773594302042e-10, 540.0
2.0995849037867194e-07, 6.579122472563251e-10, 543.0
