"Time","Base base point T Monitor: Base base point T Monitor (K)","Base/fluid contact point T Monitor: Base/fluid contact point T Monitor (K)","Lid top point T Monitor: Lid top point T Monitor (K)","Lid/fluid contact point T Monitor: Lid/fluid contact point T Monitor (K)"
2.0E-5,973.1827403868721,973.1500022353697,973.15,973.15
1.2800000000000002E-4,973.4160628177863,973.1502729167629,973.15,973.15
2.5600000000000004E-4,973.7134487118299,973.1523587107349,973.15,973.15
3.84E-4,974.1294983078755,973.1606593910271,973.15,973.15
5.120000000000001E-4,974.5389367169145,973.1762614207871,973.15,973.15
6.360000000000004E-4,974.9912604608998,973.202555975636,973.15,973.15
7.640000000000007E-4,975.5684113902333,973.2498567494707,973.15,973.15
8.920000000000011E-4,976.1040254762845,973.3073007648948,973.15,973.15
0.0010200000000000014,976.6415637939939,973.3817460795827,973.15,973.15
0.0011480000000000017,977.0690913543278,973.4916103561276,973.15,973.15
0.001272000000000002,977.4010657626152,973.6048570977995,973.15,973.15
0.0014000000000000024,977.709321578909,973.7336766288633,973.15,973.15
0.0015280000000000027,978.0460567324068,973.9005882676767,973.15,973.15
0.001656000000000003,978.3194208573195,974.0554492627391,973.15,973.15
0.0017840000000000035,978.6239641916204,974.2465789224356,973.15,973.15
0.0019080000000000037,978.876301664464,974.4188963857009,973.15,973.15
0.002036000000000004,979.1210816842806,974.596327303563,973.15,973.15
0.0021640000000000045,979.3989134653638,974.808309956564,973.15,973.15
0.0022920000000000045,979.6326949891911,974.9948697312316,973.15,973.15
0.002420000000000005,979.862138588987,975.1836067414881,973.15,973.15
0.0025440000000000055,980.1253034027579,975.4059045768644,973.15,973.15
0.0026720000000000055,980.3486616172457,975.5994041003854,973.15,973.15
0.002800000000000006,980.5693163995675,975.7935886755173,973.15,973.15
0.0029280000000000066,980.8242656861061,976.0213492439151,973.15,973.15
0.0030520000000000065,981.0409795627622,976.2174436580079,973.15,973.15
0.003180000000000007,981.2562343228675,976.4140585098581,973.15,973.15
0.0033080000000000075,981.5057540657454,976.6438991285623,973.15,973.15
0.0034360000000000076,981.7184220699319,976.8412640622574,973.15,973.15
0.003564000000000008,981.9649005238866,977.0710339252903,973.15,973.15
0.0036880000000000085,982.175901868108,977.2692450250846,973.15,973.15
0.0038160000000000086,982.3857287245385,977.4668976614939,973.15,973.15
0.003944000000000008,982.6292196129903,977.6967530327328,973.15,973.15
0.004072000000000009,982.6979788611549,977.8948748582354,973.15,973.15
0.004200000000000009,982.6390407277079,978.0914200143347,973.15,973.15
0.004324000000000009,982.4948298830661,978.3158335051654,973.15,973.15
0.00445200000000001,982.3154265231475,978.5023723206461,973.15,973.15
0.00458000000000001,982.090086139674,978.678729887843,973.15,973.15
0.004708000000000011,981.7745230556196,978.868912013584,973.15,973.15
0.004836000000000011,981.462360903156,979.0161498969248,973.15,973.15
0.004960000000000011,981.1142177143831,979.1468030366372,973.15,973.15
0.009400000000000013,979.6924630495594,979.5322459493982,973.1499999989397,973.1499999983281
0.01580000000000002,979.3546768832969,979.2424764302822,973.1499999999403,973.1499999999219
0.022200000000000022,979.0794939529303,978.996796502482,973.1499999964316,973.1499999948118
0.02840000000000003,978.8908878898101,978.8219226413142,973.1499999993492,973.1499999990847
0.03480000000000003,978.733475364301,978.6740628070331,973.1499999997658,973.149999999759
0.041200000000000035,978.5767160549851,978.5260398377685,973.1499999974706,973.1499999964212
0.047600000000000045,978.4553865189515,978.4095154722967,973.1499999996297,973.1499999995964
0.05400000000000005,978.3460372412751,978.3044798926742,973.1499999996273,973.1499999996306
0.06020000000000005,978.2295026300789,978.1926105769256,973.1499999978,973.1499999969724
0.06660000000000006,978.1340585258142,978.0997430517237,973.1499999995231,973.149999999507
0.07300000000000006,978.0441703511937,978.01249575668,973.14999999956,973.1499999995918
0.07940000000000007,977.9438083976348,977.9149811269631,973.1499999994114,973.1499999993587
0.08580000000000007,977.8607089263727,977.8338653943547,973.1499999999543,973.150000000153
0.09200000000000008,977.780009576041,977.7550604870656,973.15000000066,973.1500000010974
0.09840000000000008,977.6884702202499,977.6656327599427,973.150000002309,973.1500000031645
0.10480000000000009,977.6118498689741,977.5904776619132,973.1500000058672,973.1500000077432
0.1112000000000001,977.5254406014678,977.5061489648588,973.1500000120817,973.1500000150867
0.11760000000000011,977.4515846642523,977.4332179692097,973.1500000253621,973.1500000317412
0.1238000000000001,977.3800537161693,977.3628900997962,973.1500000454165,973.1500000560083
0.13020000000000012,977.2992497404247,977.2837863656156,973.1500000831791,973.1500001003233
0.1366000000000001,977.2301734748469,977.215374938351,973.1500001395273,973.1500001675759
0.14300000000000013,977.1633030660654,977.1494526714694,973.1500002224602,973.1500002646081
0.14940000000000014,977.0871668991113,977.0744521344186,973.1500003698295,973.1500004348277
0.15560000000000013,977.023363602199,977.0114038569059,973.1500005576147,973.1500006508383
0.16200000000000014,976.9610213960129,976.9498189613995,973.1500008216111,973.1500009519773
0.16840000000000016,976.890114922651,976.8798380150622,973.1500012580253,973.1500014447965
0.17480000000000015,976.8307489994335,976.8210571681556,973.150001778244,973.1500020308067
0.18100000000000016,976.7727984623043,976.7637299706162,973.1500024701576,973.1500028044038
0.18740000000000018,976.7069370443264,976.6986292950703,973.1500035525255,973.1500040050084
0.19380000000000017,976.6518340740587,976.6439910432172,973.150004778892,973.150005363351
0.20020000000000018,976.5898278585491,976.5828862682314,973.1500066162756,973.1500073698635
0.20660000000000017,976.5369702567629,976.5302031215589,973.1500086843893,973.1500096490154
0.21280000000000018,976.4859389395759,976.4796035756351,973.1500112306745,973.1500124275142
0.2192000000000002,976.4284894029252,976.4229275959765,973.1500149117021,973.150016398916
0.2256000000000002,976.379526102502,976.3740740131784,973.1500189138717,973.1500207575217
0.2320000000000002,976.3322614905427,976.3271609836411,973.1500236981535,973.1500259213759
0.23840000000000022,976.2785897627292,976.2739548269094,973.1500304844562,973.1500332064685
0.2446000000000002,976.2337122391679,976.2293429966888,973.1500375089823,973.1500407468169
0.2510000000000002,976.1899386647838,976.1858585712183,973.1500457901363,973.1500496041455
