Thermal Diffusivity (m^2/s), StdTDiff (m^2/s) Temp (C)
2.1805680508362874e-07, 1.1037131039695874e-10, 532.0
2.1808907211050957e-07, 1.0093012249968474e-10, 533.0
2.224474153472498e-07, 1.1033740388465375e-10, 534.0
2.3328273355107357e-07, 1.531883874266575e-10, 535.0
2.2715351040556575e-07, 2.03531679458983e-10, 538.0
2.231721393789301e-07, 2.140915587678944e-10, 539.0
2.2621419415828595e-07, 2.675092492851138e-10, 540.0
2.189921732860952e-07, 2.2361101612514422e-10, 541.0
2.190434290034675e-07, 2.983131098523947e-10, 542.0
2.1940174366944292e-07, 2.903937428279907e-10, 543.0
2.2028354442976983e-07, 2.406960410348367e-10, 544.0
2.1854551611188302e-07, 2.768342532749382e-10, 545.0
2.2114260150498036e-07, 2.2669679333052985e-10, 546.0
2.1850457266795061e-07, 1.762396416921011e-10, 547.0
2.2323023361960766e-07, 1.7858670308747594e-10, 548.0
2.2188652213478054e-07, 1.6623671633425082e-10, 549.0
2.1984075560662536e-07, 1.4856862471624397e-10, 550.0
2.1919753628889132e-07, 1.312008726129541e-10, 551.0
2.19668960723619e-07, 1.4278687329462506e-10, 552.0
2.2185110929296248e-07, 1.4138674932475542e-10, 553.0
2.2015769545854058e-07, 1.3520437718392314e-10, 554.0
2.234323554694984e-07, 1.9998392994861618e-10, 555.0
2.2790185518759652e-07, 1.883855535067029e-10, 557.0
2.2952426568560426e-07, 3.733561376905772e-10, 558.0
2.273917722288993e-07, 3.5329776717436954e-10, 559.0
2.2449036035560018e-07, 2.722320679589016e-10, 560.0
2.2499563221506437e-07, 2.525886730866077e-10, 561.0
2.22396742681628e-07, 2.6798743456503066e-10, 562.0
2.198642927346199e-07, 1.4784501722494313e-10, 564.0
2.1885170007944362e-07, 1.9438842534102778e-10, 565.0
2.2100893838090386e-07, 1.9450536090626709e-10, 566.0
2.1952461755923128e-07, 1.6520852879111352e-10, 567.0
2.2300724443206605e-07, 1.7300825838116363e-10, 568.0
2.2042735374340392e-07, 1.531551916508024e-10, 569.0
2.17537528919749e-07, 1.4366164670913905e-10, 570.0
2.2186393093597436e-07, 1.7559134747143987e-10, 571.0
2.221566694452945e-07, 1.6066548912966087e-10, 572.0
2.2332002142211592e-07, 2.163417105769259e-10, 573.0
2.3418463350482178e-07, 2.821836724059555e-10, 574.0
2.3042545945687821e-07, 3.9887865429572817e-10, 575.0
2.2659443419702668e-07, 1.6092999322143534e-10, 579.0
2.193011608364528e-07, 1.5607488066008612e-09, 478.0
2.1503028186509016e-07, 1.5515011271449058e-09, 480.0
2.1271514180655286e-07, 2.112157785516603e-09, 482.0
2.0945853014554687e-07, 1.4380578982409932e-09, 483.0
2.12652348260699e-07, 1.7333038788312911e-09, 485.0
2.1965715476117403e-07, 2.3197774747836307e-09, 487.0
2.1265761589479277e-07, 2.0506341996859084e-09, 489.0
2.2132480801194623e-07, 2.4689928886562844e-09, 491.0
2.1114693408606398e-07, 1.1089209762284325e-09, 499.0
2.0813842694572996e-07, 1.0418678940426955e-09, 500.0
2.1336364511081252e-07, 1.0499742213443102e-09, 501.0
2.1463216180787976e-07, 9.170193654031323e-10, 502.0
2.1137870498099736e-07, 9.403012331078491e-10, 503.0
2.1338875451055728e-07, 1.0140209334764507e-09, 504.0
2.172294478618279e-07, 9.161905418099187e-10, 505.0
2.08321146777284e-07, 8.737833756894202e-10, 506.0
2.148846048601201e-07, 1.0362919960416287e-09, 507.0
2.090321345451615e-07, 7.096498670939908e-10, 508.0
2.366123248119068e-07, 6.630425545011246e-10, 512.0
2.2960688771817924e-07, 3.0041931011477685e-10, 513.0
2.3016509266868684e-07, 2.5605925844968983e-10, 514.0
2.3410731251542004e-07, 1.1084241564942875e-09, 518.0
2.2320239511162795e-07, 8.999452807802656e-10, 519.0
2.1247514410406223e-07, 7.004811910119e-10, 520.0
2.1549852944230314e-07, 9.73984817045242e-10, 521.0
2.212361514077203e-07, 1.2257202548956106e-09, 522.0
2.2191322463008566e-07, 1.181488314819248e-09, 523.0
2.1999627360253807e-07, 1.1067101346723148e-09, 524.0
2.1083536768297484e-07, 2.2171057501451328e-10, 530.0
2.1198150163947357e-07, 1.7501721426429097e-10, 531.0
2.143606101478789e-07, 1.962077901409971e-10, 532.0
2.11420537030152e-07, 1.4304237159487085e-10, 533.0
2.2286406805698153e-07, 5.080581427331992e-10, 537.0
2.1765357720522904e-07, 5.265717815011621e-10, 538.0
2.163605999503534e-07, 5.037348566150643e-10, 539.0
2.1896155148973535e-07, 5.40935735326992e-10, 540.0
2.1872804749895753e-07, 5.451828536630953e-10, 541.0
2.1825829635894338e-07, 6.398652870057015e-10, 542.0
2.340086107616891e-07, 4.2365416533938055e-10, 545.0
2.158715240450833e-07, 1.6337711292430092e-10, 546.0
2.137197148229059e-07, 2.0977054245152712e-10, 547.0
2.1451117862570183e-07, 1.8162738813593218e-10, 548.0
2.1242190186049532e-07, 2.1945798090069353e-10, 549.0
2.0843688274686455e-07, 2.46696334750624e-10, 550.0
2.1124964288892483e-07, 2.1523642295077439e-10, 551.0
2.234402591920276e-07, 5.048243421006297e-10, 557.0
2.26984281423028e-07, 2.4590442856021846e-10, 562.0
2.2572820144912716e-07, 2.2263945519475078e-10, 563.0
2.2216742214424273e-07, 2.0018232556041904e-10, 564.0
2.244246847513558e-07, 1.890538165812944e-10, 565.0
2.2543169825612235e-07, 2.0399273561680878e-10, 566.0
2.22400460299755e-07, 1.26405285563919e-10, 567.0
2.230019712330438e-07, 1.219819745889469e-10, 569.0
2.2599007495180325e-07, 5.475449964781186e-10, 573.0
2.2177557207151298e-07, 5.038584167404961e-10, 574.0
2.2236663207322474e-07, 5.042430551485782e-10, 575.0
2.1931711643658098e-07, 5.166101621743498e-10, 576.0
2.2087721160616399e-07, 5.430450386123522e-10, 577.0
2.25320489735664e-07, 1.0457113411290088e-10, 579.0
