Thermal Diffusivity (m^2/s), StdTDiff (m^2/s) Temp (C)
2.176646486394511e-07, 1.8596598418583273e-09, 474.0
2.1412927657012895e-07, 1.205963680679197e-09, 475.0
2.0724845289545306e-07, 1.3023463673970125e-09, 476.0
2.0826361694192608e-07, 1.4734434125884855e-09, 477.0
2.1980365945845312e-07, 1.5168206916624448e-09, 478.0
2.0832616143646836e-07, 1.7341717769057199e-09, 479.0
2.168782015378818e-07, 1.616540816439413e-09, 480.0
2.0754469912817556e-07, 1.6223889110090635e-09, 481.0
2.1729768899774449e-07, 1.8032963769788297e-09, 482.0
2.15524596311462e-07, 1.5933126131556245e-09, 483.0
2.1799257123547939e-07, 1.3709550749346117e-09, 484.0
2.1385088704295332e-07, 1.4546426322828334e-09, 485.0
2.1450576001806566e-07, 1.2548788600817984e-09, 486.0
2.0605204267031023e-07, 1.3265064283754107e-09, 487.0
2.1182204504749362e-07, 1.2879456053992237e-09, 488.0
2.2008657903346898e-07, 1.6712846883192168e-09, 489.0
2.0977751875628018e-07, 1.3488713948728742e-09, 490.0
2.1944895356522118e-07, 1.4421940091394117e-09, 491.0
2.1799547142409484e-07, 1.3469702126409016e-09, 492.0
2.168765119243452e-07, 1.2884124078913575e-09, 493.0
2.1273108369936354e-07, 1.1900392640202073e-09, 494.0
2.210885459104507e-07, 1.1151169419567586e-09, 495.0
2.1212183202494488e-07, 1.2817745662262766e-09, 496.0
2.1575584080074545e-07, 8.85738613289699e-10, 497.0
2.1158187595317228e-07, 9.314739969906645e-10, 498.0
2.142131569134586e-07, 9.81174397133339e-10, 499.0
2.111366727042961e-07, 8.443154438540635e-10, 500.0
2.173889472538405e-07, 8.679108942230298e-10, 501.0
2.172372994973244e-07, 8.165079107911712e-10, 502.0
2.1133850240151067e-07, 9.088179371502473e-10, 503.0
2.164142614124261e-07, 8.83234902331526e-10, 504.0
2.152189488690218e-07, 9.334227524621868e-10, 505.0
2.0925672299914617e-07, 7.693985353768928e-10, 506.0
2.1243185918068806e-07, 7.867730123892848e-10, 507.0
2.1464889520167004e-07, 8.681834176127607e-10, 508.0
2.1217526737185474e-07, 7.837876524173351e-10, 509.0
2.1314220708650165e-07, 8.200709732018573e-10, 510.0
2.1535377923844338e-07, 8.24245217003707e-10, 511.0
2.153682255033467e-07, 7.676862642637476e-10, 512.0
2.1686715939921044e-07, 8.381122090227646e-10, 513.0
2.223480694953656e-07, 8.011616464682982e-10, 514.0
2.1760390229274505e-07, 7.913411474640545e-10, 515.0
2.1872410636174007e-07, 7.034681913065681e-10, 516.0
2.1620710388064862e-07, 6.391197667539684e-10, 517.0
2.162072491479337e-07, 5.650264256177478e-10, 518.0
2.110868116330307e-07, 5.371416160796031e-10, 519.0
2.1567421686338385e-07, 5.277407218397739e-10, 520.0
2.1516731152975553e-07, 5.498864152163767e-10, 521.0
2.1314586401930142e-07, 5.358733461461747e-10, 522.0
2.166891603283871e-07, 5.546551441584996e-10, 523.0
2.1478790950738924e-07, 5.953724030949606e-10, 524.0
2.1913027149975207e-07, 6.959372564450632e-10, 525.0
2.2202243065957323e-07, 7.163218889003002e-10, 526.0
2.1560107243635863e-07, 9.841776838172423e-11, 530.0
2.1659905720643902e-07, 1.2794818012600524e-10, 531.0
