Thermal Diffusivity (m^2/s), StdTDiff (m^2/s) Temp (C)
2.0744821692583963e-07, 8.864429262686795e-10, 485.0
2.059274489937933e-07, 7.751916959417882e-10, 486.0
2.0903300145912872e-07, 4.653821725987298e-10, 486.0
2.0739594791615029e-07, 3.2097145931522336e-10, 490.0
2.0758304997634918e-07, 3.606266728504049e-10, 491.0
2.0837820665549793e-07, 3.680543275200081e-10, 492.0
2.0703894045874486e-07, 4.098114320695051e-10, 493.0
2.0793465401348723e-07, 4.832989362739484e-10, 494.0
2.088786030230872e-07, 4.4516294753829644e-10, 495.0
2.092314693503963e-07, 3.473309148382167e-10, 497.0
2.0967477293291335e-07, 4.937941924393776e-10, 499.0
2.0864256356056445e-07, 4.1323618589506477e-10, 501.0
2.1020997562892783e-07, 3.7478398515354524e-10, 503.0
2.0895377273857157e-07, 4.84792025262965e-10, 504.0
2.100470210926143e-07, 4.335629434210079e-10, 505.0
2.10216317509358e-07, 2.1698775078155346e-10, 507.0
2.0777753591649571e-07, 2.3072206748623425e-10, 509.0
2.0987742911625335e-07, 2.3583848472735616e-10, 511.0
2.099101546720921e-07, 3.6371383965244236e-10, 512.0
2.1033277701436909e-07, 4.475384486065089e-10, 513.0
2.1206893188135555e-07, 5.132739303179459e-10, 514.0
2.112180156194073e-07, 7.363993894365258e-10, 515.0
2.0872878570942554e-07, 7.032003282230038e-10, 516.0
2.096535490501059e-07, 6.878858579683309e-10, 517.0
2.15381706159835e-07, 7.501481837344848e-10, 518.0
2.0869202058421328e-07, 7.604764505988166e-10, 519.0
2.0986905230206157e-07, 6.409435818373296e-10, 520.0
2.1381462279743003e-07, 5.722408075665783e-10, 521.0
2.1088899459905937e-07, 5.072081965726475e-10, 522.0
2.1138399026135268e-07, 4.782678606518402e-10, 523.0
2.122211559134471e-07, 3.951985973358617e-10, 524.0
2.1495767814644438e-07, 4.3081457103218117e-10, 525.0
2.1222235386869027e-07, 3.99877758317974e-10, 526.0
2.1387015624698497e-07, 4.0156127318182057e-10, 527.0
2.1381583124612123e-07, 4.159365053424375e-10, 528.0
2.1380192299857795e-07, 4.015648609922143e-10, 529.0
2.1415124383862686e-07, 5.136545823886396e-10, 530.0
2.1351949838270682e-07, 6.127366914250123e-10, 531.0
2.1586296866781803e-07, 6.165316090677678e-10, 532.0
2.1342501162832505e-07, 6.085617974635364e-10, 533.0
2.1676586534749917e-07, 7.319853328530718e-10, 534.0
2.1316729628422533e-07, 1.3914028064481273e-09, 535.0
2.1407407950110306e-07, 8.182315210558845e-10, 538.0
2.1195062802108336e-07, 7.306791959777127e-10, 539.0
2.1411324273245455e-07, 5.886866403100046e-10, 540.0
2.1243148848298983e-07, 3.2071609871226446e-10, 542.0
2.1144638990480277e-07, 4.547975322681339e-10, 543.0
2.1270292544621295e-07, 3.7602894751374237e-10, 545.0
2.1341213069127373e-07, 5.117741382254157e-10, 546.0
2.1463902497636678e-07, 5.931126498861274e-10, 547.0
2.1635716707404882e-07, 6.510662512915561e-10, 548.0
2.172803538343467e-07, 8.216737723821769e-10, 549.0
2.119977446080083e-07, 8.386725241795086e-10, 550.0
2.135285031491607e-07, 6.936003724004647e-10, 553.0
2.1369421261447884e-07, 7.887398677326944e-10, 554.0
2.105414812387754e-07, 8.27139697686442e-10, 555.0
2.1726573254324237e-07, 6.610282920895701e-10, 556.0
2.1252748554675103e-07, 5.938363607478077e-10, 557.0
2.1348419832457428e-07, 5.271200915665144e-10, 558.0
2.1431909972973388e-07, 6.48682721595429e-10, 559.0
2.1852632500402555e-07, 4.364945602050236e-10, 560.0
2.1767528984119693e-07, 3.329679472227241e-10, 561.0
2.1498320369374832e-07, 4.584372611827395e-10, 562.0
2.1165827380628837e-07, 4.323800439481355e-10, 563.0
2.1241759265442845e-07, 4.824716113276903e-10, 564.0
2.1259410547062595e-07, 5.603811491924612e-10, 565.0
2.1225245195923036e-07, 5.350394619893239e-10, 566.0
2.1280811649930327e-07, 6.421715116391061e-10, 567.0
2.104045827510981e-07, 7.300924574382351e-10, 568.0
2.1039103950306666e-07, 7.556663758492927e-10, 569.0
2.1580641476877683e-07, 8.381947373843297e-10, 570.0
2.1664762118443994e-07, 1.0588292752372984e-09, 571.0
2.1913910497907685e-07, 8.952407893111004e-10, 572.0
2.214164080282649e-07, 8.750770989216625e-10, 573.0
2.1617970083178325e-07, 6.806524334115003e-10, 575.0
2.1671204785253784e-07, 5.374663915401011e-10, 577.0
2.0373478690661873e-07, 1.0596074450569416e-09, 486.0
2.1051221773184212e-07, 8.048737286877851e-10, 488.0
2.092114544652613e-07, 7.636189600700203e-10, 490.0
2.1038162168561998e-07, 6.908784317063068e-10, 505.0
2.1267335341578314e-07, 4.904198923356627e-10, 507.0
2.0924286240096522e-07, 5.836418152719921e-10, 510.0
2.0946116218839273e-07, 7.343102845988361e-10, 512.0
2.0708686062177467e-07, 9.488362196339797e-10, 519.0
2.0885554497780813e-07, 6.656805738969834e-10, 521.0
2.125883706808718e-07, 5.159070661015906e-10, 523.0
2.125287831081692e-07, 4.487317075415666e-10, 525.0
2.1094514433745515e-07, 4.2731173725632307e-10, 527.0
2.109523170439353e-07, 4.4629571892906457e-10, 529.0
2.1163327214301284e-07, 6.304379505299103e-10, 531.0
2.090759407398651e-07, 8.033884739976974e-10, 535.0
2.1458260093665974e-07, 8.173485260318557e-10, 537.0
2.1188568647416258e-07, 5.967412533566879e-10, 539.0
2.141930354978256e-07, 5.141672640168358e-10, 541.0
2.1154066086733478e-07, 4.6509403660817645e-10, 543.0
2.1410845036939175e-07, 3.5436439491089154e-10, 545.0
2.10444156068952e-07, 4.6513663070027647e-10, 547.0
2.1453238213344145e-07, 5.704092157080548e-10, 549.0
2.155625508392667e-07, 7.993399884189081e-10, 553.0
2.1754616762324484e-07, 7.800424196543777e-10, 555.0
2.1424041714409451e-07, 5.983453154320505e-10, 557.0
2.1879316918724206e-07, 5.991132883937249e-10, 559.0
2.1828611813709255e-07, 4.545970976617777e-10, 561.0
2.129469269728731e-07, 4.796323386768897e-10, 563.0
2.160526147778563e-07, 4.976127448758892e-10, 565.0
2.1786285216939358e-07, 1.0575435451378712e-09, 571.0
2.1558112796234615e-07, 7.919103378373243e-10, 573.0
2.1326917761711216e-07, 5.255814331550505e-10, 575.0
2.1431576068463296e-07, 2.7463066130736176e-10, 577.0
2.1695266922177293e-07, 3.442684482767238e-10, 578.0
